"番剧名称","追番数","集数","上映时间"
"铁胆火车侠 第二季","1.9万追番","全52话","02年4月开播"
"铁腕巴迪 DECODE 第二季","8.4万追番","全12话","09年1月开播"
"铁臂阿童木 2003","9.8万追番","全50话","03年4月开播"
"铁鼻子","1666追番","全52话","02年1月开播"
"铃芽之旅","83.1万追剧","2023年3月24日上映","23年10月开播"
"铃铛猫娘 圣诞特别篇","3.2万追番","全1话","00年12月开播"
"铃铛猫娘 新年特别篇","5568追番","全2话","01年1月开播"
"铃铛猫娘 暑假特别篇","6526追番","全4话","01年8月开播"
"铃铛猫娘 赏花特别篇","9564追番","全2话","01年4月开播"
"铳墓","15.1万追番","全26话","03年10月开播"
"银仙","131.5万追番","全12话","14年10月开播"
"银发的阿基多","2.7万追番","全1话","06年1月开播"
"银河冒险战记 the second stage","1.2万追番","全13话","01年10月开播"
"银河冒险战记 胎动篇","5294追番","全1话","01年10月开播"
"银河天使","2万追番","全26话","01年4月开播"
"银河天使Z","6349追番","全18话","02年2月开播"
"银河奥特曼","168.8万追番","全11话","23年9月开播"
"银河奥特曼（中配）","80.7万追番","全11话","23年9月开播"
"银河奥特曼S","8.2万追番","全16话","22年1月开播"
"银河奥特曼S（中配）","4.1万追番","全16话","22年1月开播"
"银河奥特曼S剧场版 决战！奥特10勇士！！","6.7万追番","全1话","22年6月开播"
"银河奥特曼S剧场版 决战！奥特10勇士！！（中配）","2.2万追番","全1话","22年6月开播"
"银河奥特曼剧场版SP 怪兽争夺战","2.2万追番","全1话","23年5月开播"
"银河战国群雄传","5429追番","全52话","94年4月开播"
"银河机攻队MAJESTIC PRINCE 新作动画","2.3万追番","全1话","16年9月开播"
"银河英雄传说 我的征途是星辰大海","4.3万追番","全1话","88年2月开播"
"银河英雄传说 新战争的序曲","2.2万追番","全1话","93年12月开播"
"银河英雄传说 黄金之翼","2.2万追番","全1话","92年2月开播"
"银河英雄传说：全新命题","29.6万追番","全12话","18年4月开播"
"银河英雄传说：全新命题 激战","46.9万追番","全12话","22年4月开播"
"银河英雄传说：全新命题 策谋","53.6万追番","全12话","22年9月开播"
"银河铁道之夜","7.1万追番","全1话","85年7月开播"
"银河铁道之夜 2006","5.3万追番","全1话","06年6月开播"
"银河铁道物语","3.2万追番","全26话","03年10月开播"
"银河铁道物语 被遗忘时间的惑星","1.4万追番","全4话","07年1月开播"
"银河铁道物语II 永远的分歧点","1.2万追番","全26话","06年10月开播"
"银色的奥林西斯","1.6万追番","全12话","06年10月开播"
"银魂","486.2万追番","全200话","21年3月开播"
"银魂 最终篇","330.9万追番","全1话","23年4月开播"
"银魂 第三季","198.6万追番","全51话","21年3月开播"
"银魂 第二季","216.7万追番","全64话","21年3月开播"
"锈色铠甲 黎明","11.6万追番","全12话","22年1月开播"
"键姬物语 永久爱丽丝轮舞曲","4.4万追番","全13话","06年1月开播"
"键等学园/键等","39.7万追番","全12话","21年11月开播"
"键等学园/键等 第二季","36.7万追番","全12话","23年9月开播"
"长门有希酱的消失","61.7万追番","全16话","15年4月开播"
"长门有希酱的消失 OAD","5.6万追番","全1话","15年10月开播"
"闪灵二人组","9万追番","全49话","02年10月开播"
"闪电十一人 GO","1.9万追番","全47话","11年5月开播"
"闪电十一人 最强军团王牙来袭","5804追番","全1话","10年12月开播"
"问题儿童都来自异世界？","180.4万追番","全10话","13年1月开播"
"间谍过家家","1290.1万追番","全25话","22年4月开播"
"间谍过家家 中配版","942.2万追番","全25话","22年10月开播"
"间谍过家家 代号：白","39.3万追剧","敬请期待","25年1月开播"
"间谍过家家 第三季","1367万追番",0,"敬请期待"
"间谍过家家 第二季","1258.2万追番","全12话","23年11月开播"
"间谍过家家 第二季 中配版","952.9万追番","全12话","24年5月开播"
"间谍过家家 粤配版","889.5万追番","全25话","22年9月开播"
"队长小翼 世少篇","8.0万追番","全39话","23年12月开播"
"阴守忍者","3.5万追番","全12话","06年1月开播"
"阴晴不定大哥哥","140.7万追番","全13话","21年7月开播"
"阿信","1.1万追番","全1话","84年3月开播"
"阿宅的恋爱真难","402.2万追番","全11话","18年4月开播"
"阿尔卑斯山的少女","13.8万追番","全50话","74年1月开播"
"阿尔蒂","56.9万追番","全12话","20年4月开播"
"阿拉丁 第二季","2037追番","全8话","24年10月开播"
"阿拉丁 第二季 中文配音","1587追番","全8话","24年10月开播"
"阿松 第三季","69万追番","全25话","20年10月开播"
"阿茹茉妮","34.3万追番","全1话","14年3月开播"
"陆奥圆明流外传 修罗之刻","4.1万追番","全26话","04年4月开播"
"降世神通 第一季","15.4万追番","全20话","23年4月开播"
"降世神通 第三季","5.7万追番","全21话","23年5月开播"
"降世神通 第三季 中文配音","1.8万追番","全21话","23年5月开播"
"降世神通 第二季","5.8万追番","全20话","23年4月开播"
"降世神通 第二季 中文配音","2万追番","全20话","23年4月开播"
"隐瞒之事 电影剪辑版","51.3万追番","全1话","21年8月开播"
"雨色Convention","4.8万追番","全12话","17年10月开播"
"雨色可可","13.7万追番","全12话","15年4月开播"
"雨色可可 in Hawaii","4.7万追番","全12话","16年10月开播"
"雪之女王","5369追番","全39话","05年5月开播"
"雪宝带你看电影","2.9万追番","全6话","23年3月开播"
"零之使魔","151.4万追番","全13话","06年7月开播"
"零之使魔 双月骑士","61.1万追番","全12话","07年7月开播"
"零秒出手","1.8万追番","全13话","05年2月开播"
"零秒出手 第二季","5301追番","全13话","07年7月开播"
"雷古洛思奥特曼","12.6万追番","全3话","23年5月开播"
"雷古洛思奥特曼（中配）","1.6万追番","全3话","23年5月开播"
"雷欧奥特曼","81.4万追番","全51话","21年3月开播"
"雷欧奥特曼（中配）","66万追番","全51话","21年3月开播"
"雷顿教授与永远的歌姬","1.9万追番","全1话","09年12月开播"
"雷顿神秘侦探社～卡特莉的解谜事件簿～","6.5万追番","全50话","18年4月开播"
"青之文学","28.8万追番","全12话","09年10月开播"
"青之箱","67.8万追番","全25话","24年10月开播"
"青之芦苇","46.4万追番","全24话","22年9月开播"
"青之驱魔师","135.7万追番","全25话","11年4月开播"
"青之驱魔师 剧场版","22.9万追番","全1话","12年12月开播"
"青之驱魔师 岛根启明结社篇","137.8万追番","全12话","24年3月开播"
"青之驱魔师 终夜篇","148.5万追番","全12话","25年2月开播"
"青之驱魔师 雪之尽头篇","146万追番","全12话","24年11月开播"
"青兰圆舞曲","3.3万追番","全39话","91年7月开播"
"青山刚昌短篇集","18.2万追番","全2话","20年12月开播"
"青年黑杰克","35.7万追番","全12话","15年10月开播"
"青春之旅","211.6万追番","全12话","14年7月开播"
"青春之旅 OAD","22.9万追番","全2话","14年8月开播"
"青春猪头少年不会梦到兔女郎学姐","856.8万追番","全13话","18年10月开播"
"青春猪头少年不会梦到怀梦美少女","534.3万追番","全1话","19年11月开播"
"青春生存游戏","65.1万追番","全13话","15年7月开播"
"青春纪行 / 金色时光","138.5万追番","全24话","13年10月开播"
"青春草莓蛋","4.5万追番","全13话","01年7月开播"
"青梅竹马绝对不会输的恋爱喜剧","197.4万追番","全12话","21年5月开播"
"青空下的约定","8.6万追番","全13话","07年4月开播"
"非枪人生","71万追番","全12话","19年10月开播"
"非枪人生 第二季","81.2万追番","全12话","20年7月开播"
"面包和面条","342追番","全26话","25年12月开播"
"面包咪咪","6664追番","全5话","10年10月开播"
"面包带来和平！","29.2万追番","全13话","16年4月开播"
"面包超人：咪嘉和魔法神灯","1.2万追番","全1话","15年7月开播"
"革命机Valvrave","57.6万追番","全24话","13年4月开播"
"音乐少女","21.4万追番","全12话","18年7月开播"
"颂乐人偶","186.1万追番","全13话","25年1月开播"
"颠倒的帕特玛","39.5万追番","全1话","13年11月开播"
"风－心之呼吸 OVA","5240追番","全3话","04年6月开播"
"风-心之呼吸-","1.9万追番","全16话","04年6月开播"
"风人物语","3.3万追番","全13话","04年9月开播"
"风都侦探","81.6万追番","全12话","25年8月开播"
"飙速宅男 GLORY LINE","14.6万追番","全25话","18年1月开播"
"飙速宅男 Re:GENERATION (2017)","2.7万追番","全1话","17年10月开播"
"飙速宅男 突破极限","10.2万追番","全25话","22年10月开播"
"飞天小女警 第一季","5.5万追番","全26话","24年12月开播"
"飞天小女警 第三季 中文配音","1.3万追番","全26话","24年12月开播"
"飞天小女警 第二季 中文配音","1.2万追番","全26话","24年12月开播"
"飞天小女警 第五季","5388追番","全34话","25年2月开播"
"飞天小女警 第六季","4万追番","全24话","25年3月开播"
"飞天小女警 第四季","6223追番","全20话","24年12月开播"
"飞天少女猪","1.5万追番","全51话","94年9月开播"
"飞篮扣杀","5万追番","全26话","09年4月开播"
"飞翔的魔女","102.4万追番","全12话","16年4月开播"
"飞翔的魔女 小剧场","9.4万追番","全10话","16年4月开播"
"飞跃巅峰! 剧场版","8.8万追番","全1话","06年10月开播"
"食戟之灵","270万追番","全24话","15年4月开播"
"食戟之灵 贰之皿","229万追番","全13话","16年7月开播"
"食戟之灵 餐之皿","343.8万追番","全24话","17年10月开播"
"食梦者","55万追番","全25话","10年10月开播"
"食梦者。2","14.1万追番","全25话","11年10月开播"
"食梦者。3","14.5万追番","全25话","12年10月开播"
"食梦者玛利","12万追番","全13话","11年1月开播"
"香格里拉边境","170.2万追番","全25话","23年11月开播"
"香格里拉边境 第二季","174.9万追番","全25话","24年11月开播"
"香菜酱和她的亲人们","6687追番","全1话","15年7月开播"
"香蕉喵","8.6万追番","全13话","16年7月开播"
"香蕉喵 不可思议的伙伴们","8.1万追番","全13话","19年10月开播"
"香蕉怪大叔 呐呐~呐 好奇洞穴乐园（第二季）","1.7万追番","全24话","19年4月开播"
"香蕉怪大叔 呐呐~呐（第一季）","1.4万追番","全24话","19年4月开播"
"马达加斯加企鹅 第一季 中文配音","5.3万追番","全26话","24年1月开播"
"马达加斯加企鹅 第三季","19.3万追番","全15话","24年1月开播"
"马达加斯加企鹅 第三季 中文配音","2.5万追番","全15话","24年1月开播"
"马达加斯加企鹅 第二季","19.5万追番","全39话","24年1月开播"
"马达加斯加企鹅 第二季 中文配音","2.1万追番","全39话","24年1月开播"
"马达加斯加的企鹅 第一季","21万追番","全47话","10年4月开播"
"驭龙少年","2.8万追番","全38话","02年7月开播"
"驯兽师被逐出队伍后邂逅最强少女","59.7万追番","全13话","22年10月开播"
"驯龙高手 救援骑士 第一季","52.5万追番","全29话","24年12月开播"
"驯龙高手 救援骑士 第一季 中文配音","59.6万追番","全29话","25年8月开播"
"驰风！赛艇王","5716追番","全25话","04年1月开播"
"驰风！赛艇王 V","1.1万追番","全25话","04年7月开播"
"骇客娃娃","37.1万追番","全13话","15年10月开播"
"骇客时空","12.1万追番","全28话","02年4月开播"
"骇客时空 根源","3.3万追番","全26话","06年4月开播"
"骇客时空 黄昏的腕轮传说","3.1万追番","全12话","03年1月开播"
"骑士&魔法","249.5万追番","全13话","17年7月开播"
"骑行少女","15.6万追番","全12话","16年10月开播"
"骸骨骑士大人奇幻世界冒险中","146万追番","全12话","22年4月开播"
"高分少女 第二季","66.6万追番","全9话","19年10月开播"
"高斯奥特曼","74.3万追番","全65话","21年3月开播"
"高斯奥特曼2 蓝色星球","1.6万追番","全1话","23年5月开播"
"高斯奥特曼VS杰斯提斯奥特曼 最终决战","2.9万追番","全1话","23年5月开播"
"高斯奥特曼VS杰斯提斯奥特曼 最终决战（中配）","6021追番","全1话","23年5月开播"
"高斯奥特曼剧场版 第一次接触","1.8万追番","全1话","23年5月开播"
